timestamp,electrode,s1,s2,s3,s4,s5,intuitive
1745181617159,4,14195,-30803,-30504,-22654,-20595,0
1745181617188,3,-10113,31749,-26345,-10113,-32410,0
1745181617203,2,-22658,31965,-12041,22655,-32756,0
1745181617203,0,18296,30589,30759,-18570,30579,0
1745181617204,1,24,1211,881,12304,64,0
1745181617205,4,26475,31524,31319,19058,-15197,0
1745181617248,3,-10112,-31667,-9369,18556,-31439,0
1745181617248,2,30847,-32510,3688,-14209,-32760,0
1745181617249,0,-22668,30016,22039,-2188,30292,0
1745181617250,1,24590,5754,-29824,-12287,37,0
1745181617251,4,10357,-28396,23432,6520,-22200,0
1745181617293,3,18299,-32023,6872,-18563,-32296,0
1745181617293,2,22656,-32761,-2505,14207,32495,0
1745181617294,0,-2184,31375,-16313,30588,31143,0
1745181617295,1,20491,6185,-25902,20,0,0
1745181617296,4,-30857,30969,-601,18833,-27017,0
1745181617338,3,-6276,31886,5368,-30850,31121,0
1745181617338,2,14206,32221,-6409,-26754,31961,0
1745181617339,0,-30854,31132,-20569,-18564,30888,0
1745181617340,1,12294,6457,-27231,16387,0,0
1745181617341,4,2184,29233,30391,22653,-31952,0
1745181617383,3,-30851,30593,-10937,-30849,30636,0
1745181617384,2,-2179,32740,-1449,-30849,32230,0
1745181617384,0,-18564,31664,-12265,-30852,31423,0
1745181617385,1,24837,3379,3280,-28670,26,0
1745181617386,4,30333,26533,-14249,1924,31699,0
1745181617473,3,-6276,31183,-29033,-6277,31189,0
1745181617473,2,-26754,-32514,744,14464,-32494,0
1745181617474,0,6011,32719,-9513,-22662,31409,0
1745181617475,1,531,4402,240,-8188,50,0
1745181617476,4,10114,29033,3543,26737,-32742,0
1745181617476,3,22395,31980,-28505,-6280,32217,0
1745181617477,2,14466,-32480,5944,-18303,-32757,0
1745181617477,0,-30851,32458,-14185,-18566,31426,0
1745181617478,1,266,2663,240,28674,15,0
1745181617479,4,-6547,31421,-3929,10351,-23663,0
1745181617563,3,-30857,-32301,-18617,22390,32680,0
1745181617563,2,-14208,-32228,3480,-1921,-32754,0
1745181617564,0,-18567,31912,-16009,-30853,31684,0
1745181617565,1,28677,329,224,-32768,2,0
1745181617565,4,6001,-31645,-19481,-2190,-21259,0
1745181617566,3,-18569,31859,-1801,26490,31869,0
1745181617567,2,6273,-32757,6376,-18303,-31956,0
1745181617567,0,-22660,31931,-11145,-22660,32201,0
1745181617578,1,12295,1658,-27759,-24558,5,0
1745181617579,4,-14479,30280,14231,2157,-25536,0
1745181617623,3,-30852,31111,-10105,30590,31696,0
1745181617623,2,6273,-32756,-1481,-1921,32514,0
1745181617624,0,18299,31401,-28073,-10374,31674,0
1745181617625,1,-20461,76,25856,-8184,12,0
1745181617626,4,30836,-27952,-12169,14950,-8185,0
1745181617668,3,1919,30939,-22505,-2178,31466,0
1745181617668,2,-14465,32496,-3961,-30593,32513,0
1745181617669,0,-26759,31926,-17385,22397,32746,0
1745181617670,1,-12277,2645,-29760,-8185,0,0
1745181617671,4,-6284,28085,31175,18565,32379,0
1745181617717,3,-14468,31209,-32281,-14470,31978,0
1745181617717,2,14204,32463,-1801,-30850,31954,0
1745181617717,0,14202,31918,-16233,6011,31931,0
1745181617717,1,-20216,6464,-17776,16385,0,0
1745181617717,4,-6278,27064,-20282,6527,-27571,0
1745181617758,3,6010,31696,-32665,-10379,31634,0
1745181617758,2,22396,31947,-11273,1917,31943,0
1745181617759,0,-6279,31123,-23497,14201,31112,0
1745181617760,1,16643,8284,-2128,0,8,0
1745181617761,4,18038,28915,7463,10093,31872,0
1745181617803,3,18291,31318,-25625,-26764,31054,0
1745181617803,2,1916,32198,-11177,-30851,32228,0
1745181617804,0,-22664,30835,-28009,-26761,30869,0
1745181617805,1,-4091,1691,11440,4101,17,0
1745181617806,4,21876,24468,11447,-22669,-32677,0
1745181617848,3,-10374,30576,-17113,18300,30566,0
1745181617849,2,-10372,31952,-15593,-10372,31676,0
1745181617850,0,6009,30875,-29145,26490,31928,0
1745181617863,1,-12270,109,17920,12308,158,0
1745181617879,4,13933,32714,3143,-22415,-21465,0
1745181617923,3,22395,30363,-23625,-6273,31462,0
1745181617923,2,10109,31953,-14185,26493,32227,0
1745181617924,0,30584,32164,-16201,-10374,32482,0
1745181617925,1,-20186,1213,-3072,-20472,0,0
1745181617926,4,30583,32097,6040,10104,-20286,0
1745181617939,3,18303,31985,-28905,18557,32564,0
1745181617953,2,-26755,32480,-6137,30590,32753,0
1745181617953,0,6014,32484,-10969,6013,32494,0
1745181617998,1,285,1028,6321,-16368,62,0
1745181618013,4,-14229,-28116,-24681,-18068,-22925,0
1745181618013,3,26747,-32213,-23865,30842,32526,0
1745181618014,2,2176,32516,-4281,-6274,-32516,0
1745181618015,0,22398,32240,-10873,-18563,32747,0
1745181618016,1,-20461,1334,-27663,20494,0,0
1745181618017,4,-13712,-16893,3608,-30607,-29755,0
1745181618043,3,1914,32727,-11033,18298,32691,0
1745181618044,2,-10370,32762,-4537,-10370,32748,0
1745181618088,0,-14466,32480,-5449,-10371,32744,0
1745181618118,1,11,6472,-12255,24585,0,0
1745181618118,4,-22416,30321,29942,-13962,-30432,0
1745181618120,3,-14468,31649,-3065,6013,31629,0
1745181618133,2,14205,32474,-3017,1919,32230,0
1745181618134,0,1918,31954,-6361,-18563,31153,0
1745181618134,1,16390,2560,22096,0,6,0
1745181618135,4,-25434,31025,6775,-2180,30663,0
1745181618136,3,-30851,30848,-8889,22398,30365,0
1745181618136,2,-2180,31946,-17033,10108,32211,0
1745181618148,0,30589,31664,-13993,18300,31949,0
1745181618148,1,260,5674,32752,-12285,65,0
1745181618150,4,14214,27212,13912,-1898,-30621,0
1745181618178,3,10108,30364,-22889,-26497,31493,0
1745181618178,2,14204,32199,-8905,1918,32490,0
1745181618179,0,26486,31358,-18105,-6278,31663,0
1745181618180,1,25097,5943,0,-8189,50,0
1745181618181,4,-2170,29416,-21095,22700,32546,0
1745181618223,3,-10376,31434,31271,10104,32189,0
1745181618238,2,14205,32216,-9545,26492,31662,0
1745181618238,0,1914,31400,-19593,22393,31629,0
1745181618239,1,-7402,6950,15296,-12272,98,0
1745181618241,4,22140,31708,28247,5735,-26967,0
1745181618283,3,10103,32159,-24361,18293,32154,0
1745181618283,2,22395,31677,-20857,-2182,31408,0
1745181618284,0,-2183,30897,24471,10103,30601,0
1745181618298,1,16670,2974,25633,12307,4,0
1745181618299,4,22123,32219,-1593,-6292,-23662,0
1745181618314,3,-26761,32138,-6937,-26759,31334,0
1745181618328,2,-14469,31686,-21449,-2181,31156,0
1745181618328,0,6011,31172,-19977,26491,30614,0
1745181618329,1,-20475,1891,-23423,20502,62,0
1745181618331,4,-10375,32240,279,-1937,-24639,0
1745181618388,3,-6280,30833,-20649,-22660,30105,0
1745181618388,2,-22661,31940,-15033,10108,31940,0
1745181618389,0,-10374,31406,-19913,-2181,31428,0
1745181618390,1,-8167,152,8193,-8159,96,0
1745181618391,4,-22428,-26987,19640,14721,-28259,0
1745181618418,3,18296,27188,-23482,18029,25217,0
1745181618418,2,22398,32231,-4121,-2177,32749,0
1745181618419,0,6008,28776,-18490,-18839,26231,0
1745181618433,1,4121,5201,-17439,20496,0,0
1745181618435,4,30589,29033,-170,30849,32167,0
1745181618463,3,-23204,24053,-16571,-2465,25697,0
1745181618463,2,2178,-32759,8680,22658,-32478,0
1745181618464,0,21848,22141,-20171,-14754,26132,0
1745181618465,1,24577,4385,-9840,4101,73,0
1745181618466,4,19346,31240,-1306,18563,-31072,0
1745181618568,3,5999,31062,-32089,26487,-32297,0
1745181618568,2,6272,-32757,4264,-18304,32516,0
1745181618569,0,-2191,30250,-19209,-22662,32708,0
1745181618570,1,256,4097,352,-32768,15,0
1745181618570,4,10125,26715,-25161,18553,-29789,0
1745181618571,3,-6018,-31468,14840,26751,-31998,0
1745181618572,2,1918,31957,-15913,-26757,31931,0
1745181618572,0,-10106,-30873,28936,-30586,-31639,0
1745181618573,1,261,5255,-27264,20492,43,0
1745181618574,4,22393,28939,6728,-14724,-32032,0
1745181618598,3,6018,-31496,23048,18305,-32288,0
1745181618599,2,14203,31674,-26329,22393,31398,0
1745181618599,0,10376,-30853,26952,26758,-31116,0
1745181618613,1,-24569,59,29696,-12274,27,0
1745181618614,4,-31121,-29506,-19719,10364,-24525,0
1745181618643,3,10119,32510,12744,-26491,-32192,0
1745181618643,2,-14468,31947,-13449,22397,32481,0
1745181618673,0,-10108,-31396,22168,22662,-30605,0
1745181618673,1,-12282,220,30720,8203,5,0
1745181618674,4,-14668,25469,15254,22634,-22673,0
1745181618688,3,2180,-32695,1080,-6013,-32175,0
1745181618703,2,22398,32749,-4569,-22657,31981,0
1745181618703,0,14468,-31388,21688,-18300,-31921,0
1745181618704,1,-32482,1081,8609,24592,40,0
1745181618705,4,18279,-31058,20487,-26264,-14860,0
1745181618748,3,-30591,-31367,-8889,-14209,-31141,0
1745181618748,2,30590,32230,-12121,14205,32480,0
1745181618749,0,30851,-32440,2536,-22400,32512,0
1745181618750,1,-12278,1325,19905,20490,0,0
1745181618752,4,-26526,-27439,-18730,26733,-26986,0
1745181618793,3,-14209,-31972,9976,-14467,-32017,0
1745181618793,2,-14467,31946,-6937,-2178,32497,0
1745181618794,0,-30848,-32517,6472,6273,32540,0
1745181618795,1,12296,7302,-9023,-16374,0,0
1745181618796,4,22375,29063,-31290,-2193,-31253,0
1745181618838,3,26493,32175,1896,26493,31375,0
1745181618838,2,10108,31418,-23657,6011,31148,0
1745181618839,0,18303,31966,-12601,-22659,31172,0
1745181618840,1,20496,3840,9906,12300,256,0
1745181618841,4,30592,28147,10023,-30589,-26979,0
1745181618883,3,-10376,28173,5223,-6544,27874,0
1745181618883,2,-18569,30046,20279,-30861,29761,0
1745181618884,0,14198,28451,-8426,5741,28155,0
1745181618885,1,-3830,6620,25616,4097,12,0
1745181618886,4,9850,23745,31958,14464,-32754,0
1745181618928,3,-30859,28997,21943,-10375,30369,0
1745181618943,2,10103,30848,-26937,-14471,31130,0
1745181618945,0,-30860,30297,31991,26488,31136,0
1745181618945,1,536,7363,24768,-12267,204,0
1745181618945,4,-31108,29397,-11177,30844,-32703,0
1745181618973,3,-10377,31141,23159,-14473,31955,0
1745181618973,2,14203,31926,-17385,22395,31408,0
1745181618974,0,-26759,30855,-29161,22393,31131,0
1745181618975,1,-15853,4946,13712,-28650,155,0
1745181618976,4,9834,30861,-2617,-13955,-20671,0
1745181619018,3,-18572,31908,-30937,-22666,32140,0
1745181619019,2,10104,31389,-19577,-22661,31148,0
1745181619048,0,18297,31131,-26153,6010,30596,0
1745181619048,1,-28397,1341,-3744,-24563,0,0
1745181619050,4,-6538,30913,-26857,30316,-20226,0
1745181619078,3,-2186,31612,-15497,-22664,31359,0
1745181619078,2,-2184,31123,-25481,-22662,31413,0
1745181619079,0,-22662,31144,-22185,-2182,31678,0
1745181619080,1,-12284,1280,27233,8209,3,0
1745181619081,4,-14489,29768,-7994,2147,-19788,0
